entrezgene_id	hgnc_symbol
	RNA5SP458
26084	ARHGEF26
57661	PHRF1
4588	MUC6
6904	TBCD
	RPS6P22
115677	NOSTRIN
	RPL4P5
	RNU6-1025P
100507524	ARHGEF26-AS1
84465	MEGF11
	CDH12P2
5370	PMCHL2
2966	GTF2H2
728340	GTF2H2
94104	PAXBP1
101929374	LINC01659
	ZDHHC8P1
56245	C21orf62
	C21orf62-AS1
	CES5AP1
440023	KRTAP5-6
	SDHAP2
	CYP2D8P
388882	FAM230I
	CYP2D7
	MUC20-OT1
	LINC02557
100132565	GOLGA8F
146712	B3GNTL1
	DIS3L-AS1
402778	IFITM10
	HERC2P11
283768	GOLGA8G
2618	GART
26063	DECR2
	RPS5P3
54943	DNAJC28
55083	KIF26B
3460	IFNGR2
	OLA1P1
4700	NDUFA6
6645	SNTB2
256329	LMNTD2
84916	UTP4
91689	SMDT1
1565	CYP2D6
107987478	CYP2D6
107987479	CYP2D6
100506688	""
85409	NKD2
645202	""
4585	MUC4
	MIR210HG
	ABCB10P4
	CSPG4P10
100132202	""
9727	RAB11FIP3
757	TMEM50B
6050	RNH1
440295	GOLGA6L9
8924	HERC2
8764	TNFRSF14
	GOLGA6L17P
10723	SLC12A7
200958	MUC20
	OR2AS2P
254879	OR2T6
401992	OR2T2
	GOLGA2P10
127074	OR2T4
81458	OR2T7
26696	OR2T1
343173	OR2T3
401993	OR2T5
6942	TCF20
8293	SERF1B
728492	SERF1B
	LINC00235
6650	CAPN15
647042	""
	UBE2Q2P6
	ADAMTS7P1
	NDUFA6-DT
4671	NAIP
100134869	UBE2Q2P2
1815	DRD4
10522	DEAF1
100287898	TTC34
64087	MCCC2
79258	MMEL1
3665	IRF7
26692	OR2W1
55814	BDP1
	NOP56P1
442191	OR14J1
5987	TRIM27
504190	OR8U9
	OR8J2
	FAM8A2P
	LINC00824
504189	OR8U8
	OR8L1P
390154	OR5T3
219464	OR5T2
29	ABR
	OR8K2P
	OR8I1P
219473	OR8K3
23547	LILRA4
219469	OR8H1
390155	OR5T1
	RPL5P29
390157	OR8K1
3265	HRAS
219477	OR8J1
1196	CLK2
3903	LAIR1
414760	HCG14
	RPL13P
282890	ZNF311
	MMEL1-AS1
5689	PSMB1
55229	PANK4
84498	FAM120B
3806	""
692247	LMNTD2-AS1
	LINC01623
100507362	LINC01015
8045	RASSF7
442184	OR2B3
285834	""
7940	LST1
5313	PKLR
6606	SMN1
53841	CDHR5
441864	TARM1
79143	MBOAT7
4849	CNOT3
	MTX1P1
10288	LILRB2
9651	PLCH2
10067	SCAMP3
3802	KIR2DS1
	LINC02197
28514	DLL1
344752	AADACL2
8293	SERF1A
	LINC02066
401289	LINC01624
	AADACL2-AS1
285804	""
112724	RDH13
79042	TSEN34
	ICE2P1
2629	GBA
401164	LINC01060
51206	""
388585	HES5
	TNFRSF14-AS1
127281	PRXL2B
9437	""
442186	OR2J3
	HLA-H
4277	MICB
6343	SCT
81490	PTDSS2
147798	TMC4
80333	KCNIP4
105374516	""
160728	SLC5A8
29928	TIMM22
	OR2U2P
10107	TRIM10
79165	LENG1
64359	NXN
284415	VSTM1
121601	ANO4
	MICG
80352	RNF39
	KIR3DX1
57657	HCN3
	ZNF90P2
353514	LILRA5
394263	MUC21
79799	UGT2A3
	HCG15
104533120	TRIM31-AS1
7124	TNF
6203	RPS9
26531	OR11A1
10712	FAM189B
101929773	UGT2B27P
4340	MOG
	UGT2B29P
10859	LILRB1
7365	UGT2B10
199713	NLRP7
126014	OSCAR
7366	UGT2B15
	MT2P1
28983	TMPRSS11E
3904	LAIR2
	PCGF7P
100287226	ZNF729
163223	ZNF676
	ZNF92P2
	MTDHP5
	VN1R85P
	BNIP3P31
91746	YTHDC1
	BNIP3P30
11006	LILRB4
29844	TFPT
26121	""
55655	NLRP2
503618	DEFB104B
245908	DEFB105B
504180	DEFB105B
100131608	PRR23D1
100133251	PRR23D1
1673	DEFB4B
100289462	DEFB4B
4696	NDUFA3
	FAM90A7P
55894	DEFB103B
	DEFB108C
	KSR1P1
	IGKV1OR10-1
	FAM90A22P
11026	LILRA3
	OR7E157P
	PABPC1P8
	HSPD1P3
	FAM90A21P
100131980	ZNF705G
79168	LILRA6
245910	DEFB107B
503614	DEFB107B
	FAM90A6P
10407	SPAG11B
109864274	RNA5-8SN4
503841	DEFB106B
	FAM66B
	FAM90A23P
343068	PRAMEF5
	PRAMEF22
391003	PRAMEF18
653606	PRAMEF18
101929006	""
11027	LILRA2
346171	ZFP57
	OR2H5P
81696	OR5V1
	GPR53P
26707	OR2J2
391002	PRAMEF8
	TMEM183AP1
	HLA-DRB9
	MSH5-SAPCD1
57189	DENND11
9172	MYOM2
440563	""
441873	PRAMEF25
645359	PRAMEF25
3135	HLA-G
285962	""
101060301	""
645382	""
343070	PRAMEF9
	MYL6P5
110806272	BTG3-AS1
6742	SSBP1
10950	BTG3
	RPL32P1
442185	OR2J1
	DDX39BP1
	HCG4P8
8449	DHX16
150248	C22orf15
	HLA-K
23523	CABIN1
3304	HSPA1B
201266	SLC39A11
2550	GABBR1
6598	SMARCB1
1089	CEACAM4
55750	AGK
388021	TMEM179
	CEACAMP3
3122	HLA-DRA
	PLEKHA3P1
	DNAJC19P2
104266957	""
90273	CEACAM21
	IFITM4P
101927815	""
	LINC01194
400258	C14orf180
494551	WEE2
101928058	""
56244	BTNL2
9920	KBTBD11
	LINC02569
	OR2J4P
414777	HCG18
23359	FAM189A1
9639	ARHGEF10
	DNAJC19P3
56975	FAM20C
101927931	LINC01480
100507642	""
1087	CEACAM7
321	APBA2
	DDR1-DT
4758	NEU1
105375115	""
4282	MIF
197135	PATL2
140691	TRIM69
91319	DERL3
11025	LILRB3
102725035	LILRB3
107987425	LILRB3
107987462	LILRB3
91419	ATP23
105369785	LINC02403
	GIHCG
	MAS1LP1
	HCG4
	SUMO2P1
106478956	MDC1-AS1
	RN7SKP65
80862	ZNRD1ASP
66035	SLC2A11
	OR2U1P
50945	TBX22
653381	SORD2P
	HLA-T
22932	POMZP3
	OR2I1P
414764	TSBP1-AS1
387055	LINC00533
	LINC01556
170679	PSORS1C1
5176	SERPINF1
3106	HLA-B
567	B2M
55937	APOM
8578	SCARF1
	RPS17P1
100507436	MICA
	WHAMMP2
	ABCB10P3
105375355	UPK3B
100293534	C4B_2
	TRIM26BP
285955	SPDYE16
102723555	SPDYE16
	RPSAP2
5514	PPP1R10
107987373	""
113878	DTX2
1519	CTSO
	HERC2P1
4948	OCA2
51802	ASIC5
6999	TDO2
727910	TLCD2
100133091	""
124997	WDR81
389690	MROH5
731779	LINC01300
	HNRNPA1P38
11156	PTP4A3
	MAMDC2-AS1
256691	MAMDC2
414778	HCG17
	RPL5P32
677784	FAM138D
2843	GPR20
	OR2AD1P
	PDCD6IPP2
116511	MAS1L
440073	IQSEC3
7932	OR2H2
653720	GOLGA8M
	TRBV11-1
	TRBV7-6
79969	ATAT1
56160	NSMCE3
10990	LILRB5
	TRBV10-1
440248	HERC2P9
	TRBV5-2
	TRBV7-4
	TRBV5-5
51716	CES1P1
107987423	CES1P1
	TRBV11-3
	TRBV1
	TRBV19
221223	CES5A
100132285	""
	TRBV12-4
	TRBV7-1
	RPL41P2
	TRBV25-1
100289656	""
	TRBV17
	TRBV5-3
	TRBV7-9
	TRBV5-7
	DDX11L8
	TRBV27
80741	LY6G5C
	HSP90AA4P
	TRBV7-2
574538	""
	TRBV21-1
101928971	""
56302	TRPV5
100288778	WASH8P
124935	SLC43A2
	HNRNPA1P2
	TOMM40P4
8859	STK19
408029	CDRT15P3
89832	CHRFAM7A
3303	HSPA1A
	OR2P1P
	UBDP1
285830	HLA-F-AS1
3305	HSPA1L
63940	GPSM3
89839	""
	RPH3AL-AS1
9824	ARHGAP11A
9501	RPH3AL
	TRBV12-5
	MICC
	TRBJ2-2P
57819	LSM2
	PRSS3P3
	TRBJ1-6
	TRBJ1-5
	TRBV11-2
	TRBV20-1
3112	HLA-DOB
	TRBV10-2
135927	LLCFC1
	TRBV9
	PRSS3P1
	TRBC1
	TRBJ2-1
207147	""
114821	ZBED9
79897	RPP21
202658	RPP21
26529	OR12D2
55503	TRPV6
	KRT18P1
80863	PRRT1
100507547	PRRT1
3125	HLA-DRB3
	RPL13AP
81797	OR12D3
2794	GNL1
4308	TRPM1
	LY6G6E
	HCG21
83547	RILP
28973	MRPS18B
162540	SPPL2C
84981	MIR22HG
	RPS7P11
147081	""
	TRBV6-7
5645	PRSS2
644246	KANSL1-AS1
107984142	KANSL1-AS1
	TRBV7-3
	TRBV18
	MAPK8IP1P2
	MOXD2P
	NSFP1
7473	WNT3
101929777	WNT3
1066	CES1
5644	PRSS1
566	AZU1
1652	DDT
100037417	DDT
474170	LRRC37A2
	DND1P1
201176	ARHGAP27
5657	PRTN3
10594	PRPF8
	TRBV23-1
	TRBV5-4
2952	GSTT1
	PRSS3P2
	HLA-W
	HCG4B
346517	OR6V1
259197	NCR3
253018	HCG27
	OR9P1P
	PGBD4P1
	TRBJ1-4
26530	OR12D1
11270	NRM
93432	MGAM2
79948	PLPPR3
170680	PSORS1C2
10866	HCP5
10025	MED16
56658	TRIM39
100130148	MAPT-IT1
4137	MAPT
	MIF-AS1
2953	GSTT2
	DDX39BP2
10554	AGPAT1
114823	LENG8
26121	PRPF31
135924	OR9A2
101927829	""
	TRBV13
1991	ELANE
	TRBV28
	TRBJ2-2
	IGKV1D-8
2051	EPHB6
400916	CHCHD10
	IGKV3D-7
	IGKV1OR2-118
5555	PRH2
	MICD
1675	CFD
25774	GSTT4
	OR2G1P
7920	ABHD16A
	WASF5P
	PTMAP1
352962	HLA-V
259293	TAS2R30
100037417	DDTL
259294	TAS2R19
50836	TAS2R8
50837	TAS2R7
4320	MMP11
259296	TAS2R50
259289	TAS2R43
259291	TAS2R43
50840	TAS2R14
106707243	TAS2R14
50835	TAS2R9
259291	TAS2R45
259215	LY6G6F
259290	TAS2R31
50838	TAS2R13
259292	TAS2R46
57348	TTYH1
259295	TAS2R20
	TAS2R15P
5554	PRR4
11272	PRR4
101929111	LINC01149
	MCCD1P2
5698	PSMB9
23564	DDAH2
5799	PTPRN2
6992	PPP1R11
7082	TJP1
653689	GSTT2B
79792	GSDMD
7484	WNT9B
6941	TCF19
	MAPT-AS1
27164	SALL3
107985578	NCF4-AS1
	RN7SL268P
1394	LINC02210-CRHR1
104909134	LINC02210-CRHR1
4689	NCF4
	MAPK8IP1P1
100129361	SMIM10L1
	LRRC37A4P
	TAS2R64P
50839	TAS2R10
4905	NSF
	TAS2R63P
	LINC01896
	RPL7P4
5345	SERPINF2
	PSORS1C3
374868	ATP9B
	RPL7AP7
4050	LTB
5816	PVALB
127124	ATP6V1G3
401251	SAPCD1
622	BDH1
100463482	MTRNR2L6
	TRBV6-5
	TRBV14
	TMPOP1
	TRBV12-1
	TRBV4-2
	TRBV5-1
5788	PTPRC
	TRBJ2-6
	TRBV7-7
	TRBV2
8972	MGAM
653486	SCGB1C2
	NDUFB9P1
105375014	LINC02570
728411	""
9842	PLEKHM1
51206	GP6
105379627	""
	RN7SL105P
	LINC02091
6880	TAF9
	MTCO3P1
	HLA-DQB3
6890	TAP1
	TNXA
3126	HLA-DRB4
717	C2
	TRBV16
	TRBVB
	TRBV6-1
136541	PRSS58
101928924	""
23144	ZC3H3
3881	KRT31
5884	RAD17
65263	PYCR3
1394	CRHR1
104909134	CRHR1
	TBC1D3P7
3883	KRT33A
	TRBV24-1
653073	GOLGA8J
	TRBJ2-7
	TRBJ1-3
30834	POLR1H
	TRBVA
	TRBV26
	OR6W1P
	TRBV4-1
	TRBC2
26496	OR10A3
	TRBV8-1
120065	OR5P2
	TRBV22-1
8688	KRT37
	TRBV10-3
	OR5E1P
120066	OR5P3
26585	GREM1
	TRBJ1-1
390093	OR10A6
	TRBJ2-3
338322	NLRP10
	TRBV7-5
	TRBJ2-5
1139	""
	TRBV5-6
100505753	KRTAP16-1
	TRBV12-2
3885	KRT34
	TRBV6-4
	TRBJ1-2
283299	""
	TRBD1
	TRBJ2-4
	TRBV6-2
	TRBV30
83902	KRTAP17-1
	TRBV12-3
	TRBV3-1
100505782	""
	TRBV8-2
	WBP1LP1
	TRBV6-8
3884	KRT33B
80864	EGFL8
	TRBV29-1
	TRBV6-6
	TRBV15
7148	TNXB
22909	FAN1
3792	KEL
89870	TRIM15
100653049	""
1936	EEF1D
8447	DOC2B
3800	KIF5C
	PEBP1P3
6447	SCG5
94059	LENG9
54893	MTMR10
132001	TAMM41
	LINC02887
51621	KLF13
	RPL15P4
	HLA-P
80737	VWA7
	MARK2P14
	NUP210P2
26716	OR2H1
55722	CEP72
6550	SLC9A3
780	DDR1
401250	MCCD1
10211	FLOT1
	UBQLN1P1
	UQCRHP1
442194	OR10C1
	HLA-J
	IGLV3-31
	IGLV1-40
3120	HLA-DQB2
	ASH2LP1
648691	""
	IGLV3-30
	IGLV1-44
	IGLV3-32
	HLA-Z
29113	C6orf15
140883	ZNF280B
	CXADRP2
727924	LINC02203
4049	LTA
170954	PPP1R18
107987457	PPP1R18
	IGLVI-38
	IGLV2-34
284058	KANSL1
9656	MDC1
	IGLV5-37
	LONRF2P4
	IGLV7-43
	IGLVVII-41-1
	IGLVI-42
7262	PHLDA2
	IGLV1-41
	IGLV1-36
129025	ZNF280A
	OR4M2B
	GRAMD4P6
	NBEAP4
	IGLV2-33
440225	NF1P9
	IGLV5-45
401247	""
833	CARS1
110599563	""
102724631	POTEB3
8705	B3GALT4
23532	PRAME
50854	SNHG32
148170	CDC42EP5
	MRPS16P3
80831	APOL5
105375009	LINC02829
23543	RBFOX2
9374	PPT2
	PPIAP9
9884	LRRC37A
106478957	DDX39B-AS1
106480429	HLA-DQB1-AS1
	RPL3P2
3105	HLA-A
102723927	LINC01238
105373979	""
	IGLV7-35
	HLA-DRB2
51326	ARL17B
100506084	ARL17B
100996709	ARL17B
3109	HLA-DMB
374819	LRRC37A3
	DDX6P1
4439	MSH5
11024	LILRA1
10537	UBD
10471	PFDN6
320	APBA1
	PPP1R2P1
	HLA-N
107984156	""
3108	HLA-DMA
	RNU6-164P
7407	VARS1
9560	CCL4L2
	KRT18P53
1022	CDK7
28227	PPP2R3B
286753	TRARG1
7531	YWHAE
	CCL3-AS1
102724862	TBC1D3I
	MCCD1P1
7917	BAG6
	FABP5P13
83787	ARMC10
51596	CUTA
	RPL23AP95
349152	DPY19L2P2
102725019	""
	SAPCD1-AS1
6257	RXRB
3116	HLA-DPB2
6048	RNF5
6349	CCL3L3
414062	CCL3L3
6349	CCL3L1
414062	CCL3L1
	RDM1P2
222236	NAPEPLD
246744	STH
10919	EHMT2
414059	TBC1D3B
6874	TAF4
102723407	""
6015	RING1
6362	CCL18
3133	HLA-E
3784	KCNQ1
123036	TC2N
1002	CDH4
388372	CCL4L2
338653	KCNQ1-AS1
4676	NAP1L4
203068	TUBB
1192	CLIC1
11074	TRIM31
	CRYZP1
4583	MUC2
80740	LY6G6C
	LINC02825
101927531	""
	HLA-U
	COL11A2P1
	RPS26P8
101927503	LINC02688
79820	CATSPERB
100288332	NPIPA5
6348	CCL3
23420	NOMO1
10665	TSBP1
	GAPDHP26
570	BAAT
225689	MAPK15
	FYTTD1P1
	TRMT112P4
9859	CEP170
645455	CEP170
54886	PLPPR1
6351	CCL4
	POLR3GP1
	RN7SL301P
	NANOGP7
	LINC00685
286077	FAM83H
	LINC02878
	LYPLA2P1
	HLA-DPA2
135644	TRIM40
7264	GFUS
9020	MAP3K14
26138	LINC00588
286177	""
	LINC01606
90987	ZNF251
	RPL23AP1
2968	GTF2H4
100507435	""
5696	PSMB8
	LILRB1-AS1
2055	CLN8
6046	BRD2
1028	CDKN1C
5544	PRB3
6368	CCL23
100852407	CARS1-AS1
	COX6CP18
102723655	""
5002	SLC22A18
353164	TAS2R42
2821	GPI
	C6orf47-AS1
22827	PUF60
10000	AKT3
101060321	TBC1D3G
	ETF1P1
102723713	""
54700	RRN3
	LINC02536
	CHCHD2P2
	PTPRK-AS1
	MRPS17P5
730394	GTF2H2C_2
	IGHA2
5796	PTPRK
	IGHD4-17
	IGHEP1
	IGHG3
5545	PRB4
	IGHJ5
	ATP6V1G1P1
	IGHD1-26
	IGHD7-27
	IGHV3-11
5554	PRH1
	IGHD3-3
	IGHD3-22
	IGHD6-19
	IGHJ1
6360	CCL16
	IGHJ2
	SLC22A18AS
	IGHV3-20
	IGHE
	IGHV1-24
	RN7SKP117
55539	KCNQ1DN
	IGHJ3P
9834	FAM30A
677833	SNORA54
	ELK2BP
	IGHA1
11056	DDX52
	IGHD1-14
	IGHV1-3
	IGHVIII-38-1
	IGHV7-34-1
	IGHV4-34
	IGHGP
	IGHM
	IGHV4-39
731275	LINC01347
	IGHG1
10806	SDCCAG8
101928108	LY6L
4062	LY6H
3134	HLA-F
84662	GLIS2
	IGHV3-33
	IGHD6-25
	HTATSF1P1
	IGHD2-8
	IGHVIII-47-1
	IGHV3-21
	IGHV1-17
	IGHD6-6
114990	VASN
	IGHD
	IGHV1-12
	IGHD2-21
100529144	CORO7-PAM16
	IGHD5-12
	SLC20A1P2
	IGHJ6
	ZDHHC20P1
	IGHV1-45
8870	IER3
	IGHV3-50
	IGHV4-28
	IGHV3-53
	IGHD4-23
	IGHG4
286122	C8orf31
63943	FKBPL
	IGHJ2P
	IGHV1-68
	IGHVIII-22-2
	IGHVII-40-1
	RPL12P1
	IGHV3-54
	IGHJ3
6222	RPS18
	IGHV3-16
	CUBNP2
	IGHJ4
220972	MARCHF8
	IGHJ1P
	IGHV7-56
	IGHV3-13
	CYP21A1P
5073	PARN
	IGHV1-18
	OR6D1P
101060351	TBC1D3K
102723859	TBC1D3K
	IGHVIII-25-1
	IGHD3-9
102724323	""
4061	LY6E
	IGHVIII-2-1
	ANKRD30BP3
	IGHVII-74-1
199	AIF1
79290	OR13A1
	IGHVII-15-1
	IGHVII-44-2
	IGHV3-19
8755	ADAM6
240	ALOX5
	IGHD1-20
	IGHVIII-11-1
	IGHVIII-5-1
	IGHVIII-13-1
	IGHV1-2
55780	ERMARD
101926896	GLIS2-AS1
	IGHVIII-67-3
	IGHV3-30-2
	HOMER2P2
	IGHD5-24
	IGHD2-15
	IGHV3-64
57407	NMRAL1
	IGHV3-65
	IGHV3-35
	IGHVII-22-1
	ELK2AP
	IGHV3-15
731275	""
	IGHV5-51
	RNU6-747P
	IGHVII-46-1
	IGHV3-42
	IGHV3-6
	IGHV3-7
	IGHV2-26
	IGHV4-55
	IGHD5-5
7726	TRIM26
	IGHD4-4
	IGHD3-10
	IGHVII-67-1
	IGHV7-27
	IGHV3-41
	IGHVII-62-1
	IGHVIII-5-2
	IGHV4-59
	IGHV3-33-2
	IGHV2-70
	IGHVIII-76-1
	IGHV3-43
	IGHV3-66
	IGHD3-16
	IGHVII-53-1
3115	HLA-DPB1
	IGHV3-22
	IGHV3-72
	HMGB1P24
102723471	LHX1-DT
	IGHV3-48
	IGHV7-40
	IGHV3-69-1
	RPS27P14
	IGHV1-69D
	IGHV3-29
	IGHV3-36
57151	LYZL6
	IGHV1-58
153562	MARVELD2
	IGHV2-5
	IGHV3-47
	IGHVIII-44
	IGHV8-51-1
	IGHV3-57
	IGHV3-63
	IGHVIII-26-1
3111	HLA-DOA
	IGHVII-30-1
100507463	""
	IGHD1-1
	IGHV6-1
	IGHV3-60
	IGHV3-38
	IGHV3-73
	IGHV4-61
	IGHD5-18
84311	MRPL45
	IGHVII-51-2
	IGHD6-13
6011	GRK1
	IGHV3-74
	IGHV3-25
	IGHVII-65-1
	IGHV3-75
	DHFRP2
	IGHV2-70D
348013	TMEM255B
100130386	LINC00552
	IGHD1-7
	IGHVII-33-1
	IGHV3-37
	IGHVII-26-2
	IGHV3-62
	ATP5MC1P1
	IGHV1-67
	IGHVII-1-1
	IGHD2-2
	HOMER2P1
	IGHVIV-44-1
	IGHD4-11
	HLA-DRB7
	IGHV1-69-2
	IGHV3-30
	IGHVIII-67-4
	IGHV4-4
3139	HLA-L
	IGHG2
	ZNF70P1
3163	HMOX2
3123	HLA-DRB1
729873	TBC1D3L
101060376	TBC1D3L
177	AGER
	IGHV3-71
	IGHV1-69
	IGHV3-52
	IGHV3-49
	LY6E-DT
	COPDA1
	IGHV3-76
	IGHVII-49-1
	IGHV1-46
	AK3P2
	SLC20A1P1
	RNU6-1207P
	IGHVII-60-1
	IGHV5-78
	IGHV3-23
	IGHVIII-67-2
	IGHV1-14
31	ACACA
93100	NAPRT
8399	PLA2G10
629	CFB
401288	LINC00242
80069	LINC00574
	SAR1AP1
6991	DYNLT2
23	ABCF1
100130274	CCDC166
286075	ZNF707
101928160	ZNF707
100506658	OCLN
	PKD1P3
2515	ADAM2
123811	CEP20
	DUX4L9
	TUBB7P
448831	FRG2
2483	FRG1
202243	CCDC125
	HLA-DPA3
	PAIP1P1
4795	NFKBIL1
64090	GAL3ST2
	RPL15P20
730013	ABCC6P2
129807	NEU4
23042	PDXDC1
51025	PAM16
414765	HCG25
	NAIPP4
	HMGN1P12
	CFL1P5
102157402	AK6
1460	CSNK2B
9093	DNAJA3
642574	""
80739	MPIG6B
84948	TIGD5
9831	ZNF623
642475	MROH6
101927289	LINC01237
285095	FAM240C
285093	RTP5
5133	PDCD1
23513	SCRIB
8754	ADAM9
92259	MRPS36
29965	CDIP1
	CDH12P4
203102	ADAM32
7922	SLC39A7
54143	""
	RNU4-45P
387357	THEMIS
80742	PRR3
80736	SLC44A4
79585	CORO7
5089	PBX2
104355426	LENG8-AS1
8749	ADAM18
1302	COL11A2
122258	SPACA7
	PKD1P1
	RN7SKP175
368	ABCC6
10426	TUBGCP3
	LINC01070
101928752	LINC01043
104266956	LINC01044
58496	LY6G5B
	SUCLA2P1
3113	HLA-DPA1
54535	CCHCR1
	RPL3P10
	CYB5AP3
5265	SERPINA1
255027	MPV17L
221545	C6orf136
123803	NTAN1
145270	PRIMA1
3429	IFI27
80179	MYO19
642778	NPIPA3
57718	PPP4R4
	TSPY24P
	ZNF92P1Y
	VDAC1P6
	RBMY3AP
	RFTN1P1
	SERBP1P2
	TSPY12P
	DUX4L19
83867	TTTY12
89927	BMERB1
	RBMY1A3P
100101120	TTTY7B
6293	VPS52
	OFD1P3Y
	RBMY2HP
	TOMM22P1
	GYG2P1
84672	TTTY6
	ELOCP35
	SLC9B1P1
	LINC00265-3P
	USP12PY
114758	CSPG4P1Y
	USP9YP31
252955	TTTY23
	KDM5DP1
246122	TTTY7
64112	MOAP1
	LINC00266-4P
	LINC00279
26175	TMEM251
51283	BFAR
866	SERPINA6
	DUX4L17
728395	TSPY4
283592	FAM181A-AS1
55727	BTBD7
255027	""
	PKD1P6
	MTCO2P32
9081	PRY
79888	LPCAT1
	PPP1R12BP2
	TSPY18P
	PCMTD1P1
	REREP1Y
474148	TTTY3B
	CCNQP2
	OFD1P18Y
	HSFY7P
	HLA-S
	RBMY2YP
54820	NDE1
3833	KIFC1
	USP9YP18
	USP9YP26
	TMEM167AP1
